,,precision,recall,f1-score,support
RF,0,0.8350659229208925,0.9340612592172434,0.8817938420348059,7052.0
RF,1,0.5818345323741008,0.33213552361396304,0.42287581699346405,1948.0
RF,accuracy,0.8037777777777778,0.8037777777777778,0.8037777777777778,0.8037777777777778
RF,macro avg,0.7084502276474967,0.6330983914156032,0.652334829514135,9000.0
RF,weighted avg,0.7802553952780981,0.8037777777777778,0.782463585059191,9000.0
ADA,0,0.8365896980461812,0.9350538854225752,0.8830855765367618,7052.0
ADA,1,0.590339892665474,0.33880903490759756,0.4305283757338552,1948.0
ADA,accuracy,0.806,0.806,0.806,0.806
ADA,macro avg,0.7134647953558276,0.6369314601650864,0.6568069761353085,9000.0
ADA,weighted avg,0.7832902957260014,0.806,0.7851320846296438,9000.0
GB,0,0.8442527995881066,0.930090754395916,0.8850954726401727,7052.0
GB,1,0.5995125913891145,0.3788501026694045,0.4642969487260144,1948.0
GB,accuracy,0.8107777777777778,0.8107777777777778,0.8107777777777778,0.8107777777777778
GB,macro avg,0.7218826954886106,0.6544704285326602,0.6746962106830936,9000.0
GB,weighted avg,0.7912801411912581,0.8107777777777778,0.7940159699085305,9000.0
DT,0,0.8312887862606436,0.8167895632444696,0.8239753951791716,7052.0
DT,1,0.3761467889908257,0.39989733059548255,0.3876586215476487,1948.0
DT,accuracy,0.7265555555555555,0.7265555555555555,0.7265555555555555,0.7265555555555555
DT,macro avg,0.6037177876257347,0.6083434469199761,0.6058170083634101,9000.0
DT,weighted avg,0.732775829518243,0.7265555555555555,0.7295370535087042,9000.0
LR,0,0.8763049667826637,0.7855927396483268,0.8284731568715419,7052.0
LR,1,0.43539955190440627,0.5985626283367557,0.5041072200605275,1948.0
LR,accuracy,0.7451111111111111,0.7451111111111111,0.7451111111111111,0.7451111111111111
LR,macro avg,0.655852259343535,0.6920776839925412,0.6662901884660347,9000.0
LR,weighted avg,0.780873439206792,0.7451111111111111,0.7582659518817801,9000.0
VCs,0,0.8433876221498371,0.9178956324446965,0.8790656617097847,7052.0
VCs,1,0.5630188679245283,0.38295687885010266,0.4558509013137794,1948.0
VCs,accuracy,0.8021111111111111,0.8021111111111111,0.8021111111111111,0.8021111111111111
VCs,macro avg,0.7032032450371827,0.6504262556473996,0.6674582815117821,9000.0
VCs,weighted avg,0.7827033629019591,0.8021111111111111,0.7874631780151826,9000.0
